,Display,Rear Camera,Processor,Price1,Front Camera2,Battery1,Name1,RAM1,ROM1
0,16.94 ,64MP + 13MP + 2MP + 2MP ,Qualcomm Snapdragon 732G Processor,"15,999", 20,6000 ,POCO X3 (Cobalt Blue),6 GB , 128 GB 
1,16.59 ,13MP Rear Camera ,MediaTek Helio G25 Processor,"7,999", 5,5000 ,Redmi 9i (Nature Green),4 GB , 64 GB 
2,16.94 ,64MP + 13MP + 2MP + 2MP ,Qualcomm Snapdragon 732G Processor,"15,999", 20,6000 ,POCO X3 (Shadow Gray),6 GB , 128 GB 
3,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"9,999", 8,5000 ,POCO M2 (Brick Red),6 GB , 64 GB 
4,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"6,999", 5,5000 ,POCO C3 (Arctic Blue),3 GB , 32 GB 
5,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"9,999", 8,5000 ,POCO M2 (Pitch Black),6 GB , 64 GB 
6,16.94 ,64MP + 13MP + 2MP + 2MP ,Qualcomm Snapdragon 732G Processor,"14,999", 20,6000 ,POCO X3 (Cobalt Blue),6 GB , 64 GB 
7,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"6,999", 5,5000 ,POCO C3 (Matte Black),3 GB , 32 GB 
8,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"7,999", 5,5000 ,POCO C3 (Arctic Blue),4 GB , 64 GB 
9,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"7,999", 5,5000 ,POCO C3 (Lime Green),4 GB , 64 GB 
10,16.56 ,48MP + 8MP + 2MP ,MediaTek Helio G85 Processor,"10,499", 8,6000 ,Realme Narzo 20 (Glory Silver),4 GB , 64 GB 
11,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"6,999", 5,5000 ,POCO C3 (Lime Green),3 GB , 32 GB 
12,16.59 ,13MP Rear Camera ,MediaTek Helio G80 Processor,"9,499", 8,5020 ,Redmi 9 Prime (Space Blue),4 GB , 64 GB 
13,16.59 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"7,999", 5,5000 ,POCO C3 (Matte Black),4 GB , 64 GB 
14,16.56 ,48MP + 8MP + 2MP ,MediaTek Helio G85 Processor,"11,499", 8,6000 ,Realme Narzo 20 (Victory Blue),4 GB , 128 GB 
15,16.56 ,48MP + 8MP + 2MP ,MediaTek Helio G85 Processor,"11,499", 8,6000 ,Realme Narzo 20 (Glory Silver),4 GB , 128 GB 
16,16.56 ,48MP + 8MP + 2MP ,MediaTek Helio G85 Processor,"10,499", 8,6000 ,Realme Narzo 20 (Victory Blue),4 GB , 64 GB 
17,16.51 ,12MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"9,499", 8,5000 ,Realme Narzo 20A (Glory Silver),4 GB , 64 GB 
18,16.51 ,12MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"9,499", 8,5000 ,Realme Narzo 20A (Victory Blue),4 GB , 64 GB 
19,16.51 ,12MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"8,499", 8,5000 ,Realme Narzo 20A (Victory Blue),3 GB , 32 GB 
20,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"10,999", 8,5000 ,POCO M2 (Slate Blue),6 GB , 128 GB 
21,16.51 ,64MP + 8MP + 2MP + 2MP ,MediaTek Helio G95 Processor,"14,999", 16,5000 ,Realme 7 (Mist Blue),6 GB , 64 GB 
22,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"10,999", 8,5000 ,POCO M2 (Pitch Black),6 GB , 128 GB 
23,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"9,999", 8,5000 ,POCO M2 (Slate Blue),6 GB , 64 GB 
24,16.59 ,13MP Rear Camera ,MediaTek Helio G25 Processor,"7,999", 5,5000 ,Redmi 9i (Midnight Black),4 GB , 64 GB 
25,16.59 ,13MP Rear Camera ,MediaTek Helio G80 Processor,"9,499", 8,5020 ,Redmi 9 Prime (Mint Green),4 GB , 64 GB 
26,16.59 ,13MP Rear Camera ,MediaTek Helio G80 Processor,"9,499", 8,5020 ,Redmi 9 Prime (Matte Black),4 GB , 64 GB 
27,16.26 ,64MP + 8MP + 5MP ,Exynos 9611 Processor,"14,999", 32,6000 ,Samsung Galaxy F41 (Fusion Blue),6 GB , 64 GB 
28,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"11,999", 16,5000 ,POCO M2 Pro (Out of the Blue),4 GB , 64 GB 
29,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"11,999", 16,5000 ,POCO M2 Pro (Green and Greener),4 GB , 64 GB 
30,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"12,999", 16,5000 ,POCO M2 Pro (Two Shades of Black),6 GB , 64 GB 
31,17.22 ,16MP + 2MP + 2MP + Low Light Sensor ,MediaTek Helio G70 Processor,"9,499", 8,5200 ,Infinix Hot 10 (Moonlight Jade),4 GB , 64 GB 
32,17.22 ,16MP + 2MP + 2MP + Low Light Sensor ,MediaTek Helio G70 Processor,"9,499", 8,5200 ,Infinix Hot 10 (Ocean Wave),4 GB , 64 GB 
33,16.59 ,13MP Rear Camera ,MediaTek Helio G80 Processor,"9,499", 8,5020 ,Redmi 9 Prime (Sunrise Flare),4 GB , 64 GB 
34,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"12,999", 16,5000 ,POCO M2 Pro (Out of the Blue),6 GB , 64 GB 
35,16.26 ,64MP + 8MP + 5MP ,Exynos 9611 Processor,"15,999", 32,6000 ,Samsung Galaxy F41 (Fusion Blue),6 GB , 128 GB 
36,16.51 ,64MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"12,999", 16,4300 ,Realme 6 (Comet White),6 GB , 64 GB 
37,16.51 ,64MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"12,999", 16,4300 ,Realme 6 (Comet Blue),6 GB , 64 GB 
38,16.59 ,13MP + 8MP + 5MP + 2MP ,MediaTek Helio G80 Processor,"10,999", 8,5000 ,POCO M2 (Brick Red),6 GB , 128 GB 
39,16.51 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 662 Processor,"12,999", 16,5000 ,Realme 7i (Fusion Blue),4 GB , 128 GB 
40,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"11,999", 16,5000 ,POCO M2 Pro (Two Shades of Black),4 GB , 64 GB 
41,16.51 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 662 Processor,"12,999", 16,5000 ,Realme 7i (Fusion Green),4 GB , 128 GB 
42,16.56 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"8,999", 5,6000 ,Realme C12 (Power Blue),3 GB , 32 GB 
43,16.51 ,13MP + 2MP ,Mediatek Helio G35 Processor,"7,499", 5,5000 ,Realme C11 (Rich Green),2 GB , 32 GB 
44,16.51 ,13MP + 2MP ,Mediatek Helio G35 Processor,"7,499", 5,5000 ,Realme C11 (Rich Grey),2 GB , 32 GB 
45,16.56 ,13MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"8,999", 5,6000 ,Realme C12 (Power Silver),3 GB , 32 GB 
46,17.32 ,13MP + Depth Sensor ,Mediatek Helio A25 Processor,"7,999", 8,6000 ,Infinix Smart 4 Plus (Midnight Black),3 GB , 32 GB 
47,17.32 ,13MP + Depth Sensor ,Mediatek Helio A25 Processor,"7,999", 8,6000 ,Infinix Smart 4 Plus (Violet),3 GB , 32 GB 
48,17.32 ,13MP + Depth Sensor ,Mediatek Helio A25 Processor,"7,999", 8,6000 ,Infinix Smart 4 Plus (Ocean Wave),3 GB , 32 GB 
49,15.75 ,13MP + 2MP ,MediaTek Helio P35 Processor,"9,990", 8,4230 ,OPPO A5s (Black),4 GB , 64 GB 
50,15.75 ,13MP + 2MP ,MediaTek Helio P35 Processor,"7,990", 8,4230 ,OPPO A5s (Blue),2 GB , 32 GB 
51,16.94 ,64MP + 13MP + 2MP + 2MP ,Qualcomm Snapdragon 732G Processor,"17,999", 20,6000 ,POCO X3 (Shadow Gray),8 GB , 128 GB 
52,17.22 ,16MP + 2MP + 2MP + Low Light Sensor ,MediaTek Helio G70 Processor,"10,999", 8,5200 ,Infinix Hot 10 (Ocean Wave),6 GB , 128 GB 
53,17.22 ,16MP + 2MP + 2MP + Low Light Sensor ,MediaTek Helio G70 Processor,"10,999", 8,5200 ,Infinix Hot 10 (Amber Red),6 GB , 128 GB 
54,17.22 ,16MP + 2MP + 2MP + Low Light Sensor ,MediaTek Helio G70 Processor,"10,999", 8,5200 ,Infinix Hot 10 (Moonlight Jade),6 GB , 128 GB 
55,16.26 ,64MP + 8MP + 5MP ,Exynos 9611 Processor,"14,999", 32,6000 ,Samsung Galaxy F41 (Fusion Black),6 GB , 64 GB 
56,17.32 ,13MP + Depth Sensor ,MediaTek Helio A22 Processor,"6,999", 8,6000 ,Infinix Smart 4 (Ocean Wave),2 GB , 32 GB 
57,17.32 ,13MP + Depth Sensor ,MediaTek Helio A22 Processor,"6,999", 8,6000 ,Infinix Smart 4 (Violet),2 GB , 32 GB 
58,17.32 ,13MP + Depth Sensor ,MediaTek Helio A22 Processor,"6,999", 8,6000 ,Infinix Smart 4 (Quetzal Cyan),2 GB , 32 GB 
59,16.51 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio G95 Processor,"15,999", 16,4500 ,Realme Narzo 20 Pro (White Knight),8 GB , 128 GB 
60,16.26 ,64MP + 8MP + 5MP ,Exynos 9611 Processor,"14,999", 32,6000 ,Samsung Galaxy F41 (Fusion Green),6 GB , 64 GB 
61,15.75 ,13MP + 2MP ,MediaTek Helio P35 Processor,"12,990", 8,4230 ,OPPO A5s (Green),4 GB , 64 GB 
62,16.26 ,64MP + 8MP + 5MP ,Exynos 9611 Processor,"15,999", 32,6000 ,Samsung Galaxy F41 (Fusion Black),6 GB , 128 GB 
63,16.51 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio P70 Processor,"15,990", 16,4000 ,OPPO Reno2 F (Lake Green),6 GB , 256 GB 
64,15.8 ,13MP + 2MP ,Qualcomm Snapdragon 439 Processor,"6,999", 8,5000 ,Redmi 8A Dual (Sky White),2 GB , 32 GB 
65,15.8 ,13MP + 2MP ,MediaTek Helio P35 Processor,"7,990", 5,4230 ,OPPO A12 (Black),3 GB , 32 GB 
